Company;Year;ISIN;restatement;SR;NFE;Date SRNFE;Date AR;ReportSize SRNFE;ReportSentence SRNFE;ReportWords SRNFE;GRI;Keywords;KeywordsClean;SentenceRestatement;ReportSize AR;ReportSentence AR;ReportWords AR
a.s. creation tapeten ag;2019;fehlt;0;1;1;13.03.2020;fehlt;1;2;1;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\A.S. Creation Tapeten AG2019_NFB.pdf
a.s. creation tapeten ag;2020;fehlt;1;1;1;10.03.2021;fehlt;9;813;2994;0;wert.*angepasst;wert angepasst;den ergebnissen dieser auswertungen wurden die anlagensteuerungen angepasst und damit;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\A.S. Creation Tapeten AG2020_NFB.pdf
a.s. creation tapeten ag;2020;fehlt;1;1;1;10.03.2021;fehlt;9;813;2994;0;wert.*vorjahr;wert vorjahr;ausbildungsquote mit einem wert von 6,5 % (vorjahr: 7,8 %) unter diesem zielwert;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\A.S. Creation Tapeten AG2020_NFB.pdf
allgeier se;2020;fehlt;0;1;0;20.06.2020;fehlt;19;1080;12210;0;fehlt;fehlt;fehlt;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\ALLGEIER SE2020_SR.pdf
berentzen-gruppe ag;2019;fehlt;1;1;0;25.03.2020;fehlt;62;4008;17448;1;vorjahr.*scope;vorjahr scope;vorjahr die co2-emissionen in den kategorien scope 1 und;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2019_SR.pdf
berentzen-gruppe ag;2019;fehlt;1;1;0;25.03.2020;fehlt;62;4008;17448;1;anpass.*bericht;anpass bericht;anpassung der unternehmensziele anhand der neuen indikatoren und darstellung in der nachhaltigkeitsberichterstattung;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2019_SR.pdf
berentzen-gruppe ag;2019;fehlt;1;1;0;25.03.2020;fehlt;62;4008;17448;1;bericht.*anpass;bericht anpass;verpflichtung, etwaige berichtigungen oder anpassungen;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2019_SR.pdf
berentzen-gruppe ag;2020;fehlt;1;1;0;24.03.2021;fehlt;68;4746;20352;1;bericht.*vorjahr;bericht vorjahr;segmente ist im berichtsjahr leicht auf 0,65 liter je füllung (vorjahr 0,66 liter je;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2020_SR.pdf
berentzen-gruppe ag;2020;fehlt;1;1;0;24.03.2021;fehlt;68;4746;20352;1;bericht.*anpass;bericht anpass;keine verpflichtung, etwaige berichtigungen oder anpassungen vorzunehmen auf;fehlt;fehlt;fehlt;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Berentzen-Gruppe AG2020_SR.pdf
dermapharm holding se;2019;fehlt;1;1;0;02.04.2020;26.04.2021;27;922;7510;0;bericht.*aktualisier;bericht aktualisier;wir freuen uns, ihnen mit diesem bericht unsere aktualisierungen zum thema soziale verantwortung und nachhaltigkeit näher zu bringen und wünschen ihnen eine gute lektüre;27;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Dermapharm Holding SE2019_SR.pdf
dermapharm holding se;2019;fehlt;1;1;0;02.04.2020;26.04.2021;27;922;7510;0;vorjahr.*vorjahr;vorjahr vorjahr;bei mitarbeitern in führungspositionen lag der frauenanteil 2019 auf der ersten führungsebene bei 29 % (vorjahr: 46 %), auf der zweiten führungsebene bei 49 % (vorjahr: 50 %);27;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Dermapharm Holding SE2019_SR.pdf
dermapharm holding se;2020;fehlt;1;1;0;26.04.2021;26.04.2021;34;1370;11068;1;wert.*vorjahr;wert vorjahr;mit blick auf die umsatzentwicklung der deutsch-sprachigen produktionsstandorte des dermapharm-konzerns erschwert die energieintensive produktion von allergopharma, die für 2020 erstmals zum  konsolidierungskreis zählt, eine vergleichbarkeit zu den vorjahreswerten;34;1299;11068;C:\Users\test\Documents\GitHub\hhu_whk_project_restatements\data\raw_nachgeliefert_ganz\1. SRs (deutsch) Joiners 2019-2020\Dermapharm Holding SE2020_SR.pdf
